"RESPONSIBLE_COMPANY","Spill_Count_by_company"
"",1
"#5 OIL DOCK MARATHON",1
"A.C.L",1
"A3M VACUUM SERVICE",2
"ACBL",1
"ADM DRAIN",1
"ADM DRAIN COMPANY",1
"AMERICAN COMMERCIAL BARGE LINE",2
"AMERICAN COMMERCIAL BARGE LINES",1
"AMERICAN COMMERCIAL LINES",6
"AMERICAN COMMERICAL LINE ACL",2
"AMERICAN CRUISE LINES",1
"AMERICAN ELECTRIC POWER RIVER OPERATIONS",1
"AMERICAN RIVER TRANSPORT",1
"AMERICAN RIVER TRANSPORTATION COMPANY",3
"AMERICAN RIVER TRANSPORTATION COPANY",1
"AMERICAN STYRENICS",1
"AMERICAN SUGAR REFINING",1
"AMSPEC",1
"APEX",1
"ARCELORMITTAL LAPLACE",1
"ARCO",1
"AXIALL LLC",1
"BARTON CONTRACTORS",1
"BENEINNO GROCERIES",1
"BEVERLY DREDGING",1
"BIG RIVER SHIP BUILDERS",1
"BISSO MARINE COMPANY",1
"BISSO TOW BOAT COMPANY INC",1
"BISSO TOWBOAT CO. INC.",1
"BLESSEY MARINE",1
"BLESSEY MARINE SERVICES",1
"BLUE GRASS MARINE",1
"BOH BROTHERS CONSTRUCTION CO. LLC.",1
"BOLLINGER ALGIERS INC",1
"BOMAC",1
"BOUCHARD",1
"BOUCHARD TRANSPORTATION",1
"C AND J MARINE SERVICES",1
"CALIBRET",1
"CANAL BARGE",1
"CANAL BARGE COMPANY",2
"CARGILL GRAIN ELEVATORS",1
"CARGILL INC",2
"CARLINE",3
"CARLINE FLEET",1
"CARLINE FLEET MANAGEMENT CO.",1
"CARNIVAL",1
"CARNIVAL CRUISE LINE",7
"CARNIVAL CRUISELINES",1
"CARNIVAL ELATION",1
"CELESTIAL",1
"CGB MARINE SERVICES",2
"CHALMETTE REFINERY",1
"CHALMETTE REFINING",5
"CHALMETTE REFINING LLC",22
"CHEM CARRIERS",1
"CHEM CARRIERS LLC.",1
"CHEMBULK TANKERS",1
"CHEMIKALIEN",1
"CHERVON/PHILLIPS",1
"CHERYL K MARINE",1
"CHEVRON ORONITE",1
"CHEVRON ORONITE CO.",1
"CHEVRON ORONITE COMPANY",17
"CHEVRON ORONITE COMPANY LLC",2
"CHEVRON ORONITE COMPANY, LLC",12
"CHEVRON PIPELINE CO.",1
"CHINA SHIPPING DEVELOPMENT",1
"CINOTRANS SHIP MANAGMENT LIMITED",1
"CLIFF BERRY INC.",1
"COLUMBIA SHIP MANAGEMENT",1
"COOPER / PLIMSOIL",1
"COOPER CONSOLIDATED",1
"COOPER DARROW",1
"COOPER T. SMITH",2
"COOPER T. SMITH COMPANY",1
"CORNERSTONE CHEMICAL",2
"COSTCO HONG KONG SHIPPING",1
"COUBILLION GROUP",1
"CRESCENT SHIP SERVICE",3
"CRESCENT SHIP SERVICES",1
"CRESCENT TOWING",3
"CRESENT TOWING",6
"CROSSTEX",1
"CROWLEY MARINE",1
"CST FLEET",1
"DAN OCEAN TOWING",1
"DELTA QUEEN",1
"DIXIE EXPRESS",1
"DOW CHEMICAL",4
"DREDGE OPERATORS INC.",1
"DU PONT",1
"DUNE OPERATING",1
"DUPONT EI",1
"E.N. BISSO & SON INC",1
"E.N. BISSO AND SONS INC.",5
"EBI ELEVATING BOATS LLC",1
"ECONOMY STONE MIDSTREAM FUEL",1
"EI DUPONT",1
"ELMWOOD DRYDOCK & REPAIR",1
"ELOI BAY FACILITY",1
"EMARD TOWING",1
"EMPIRE POAGIE PLAND",1
"ENERGY PARTNERS LIMITED",1
"ENLINK MIDSTREAM",1
"ENTERGY",1
"ENTERGY CORP. WILLOW GLEN PLANT",1
"ENTERPRISE MARINE",1
"ENTERPRISE PRODUCT PIPELINE",1
"ERGON",1
"EVONIK",1
"EXON MOBILE",1
"EXXON CHEMICAL",1
"EXXON MOBIL",19
"EXXON MOBILE",1
"EXXON MOBILE REFINERY",1
"EYMARD BROTHERS TOWING",1
"FCC ENVIRONMENTAL",1
"FML SHIP MANAGEMENT LIMITED",1
"GENCO SHIPPING & TRADING",1
"GENESIS CRUDE OIL",1
"GENESIS ENERGY",2
"GENESIS MARINE",3
"GIBSON SERVICES PAINT CLEANING",1
"GNOTS RESERVE",1
"GNOTS RESERVE AND CORP",1
"GNOTS RESERVE INC",1
"GNOTS RESERVE INC.",2
"GRAMERCY ALUMINUM",1
"GRIFCO TOWING",1
"GSS AVONDALE",1
"HARVEST PIPELINE/ HILCORP",1
"HENRY A",1
"HIGHLAND MARINE",1
"HIGHLAND TOWING LLC.",2
"HIGMAN BARGE LINES",1
"HIGMAN MARINE",1
"HIGMAN MARINE SERVICES",1
"HILCORP ENERGY",2
"HILL CORP ENERGY",2
"HONEYWELL INTL.",1
"HUNTINGTONS INGALLS INCORPORATED",1
"IMTT",1
"IMTT COMPANY",5
"IMTT GEISMAR",1
"IMTT GEISMER",3
"IMTT GRETNA",2
"IMTT SAINT ROSE",1
"IMTT TERMINALS",1
"INERNATIONAL MARINE TERMINALS",1
"INGRAHM BARGE",1
"INGRAM BARGE",1
"INGRAM BARGE CO",1
"INGRAM BARGE COMPANY",1
"INGRAM CUSTOM FUEL",1
"INLAND MARINE",1
"INTERCONTINENTAL TERMINALS COMPANY",2
"INTERNATIONAL MARINE TERMAINAL",1
"INTERNATIONAL MARINE TERMINAL",5
"INTERNATIONAL MARINE TERMINALS",4
"INTERNATIONAL MATEX TANK TERMINAL",9
"INTERTEK",1
"JIMILTA II",1
"JOHN W. STONE",2
"JOHN W. STONE OIL DISTRIBUTERS",2
"JOHN W. STONE OIL DISTRIBUTOR",9
"JON DUNNING LLC.",1
"KATHERINE RAY TOWING",1
"KBS LIMITED",1
"KEY STONE SHIPPING COMPANY",1
"KINDER MORGAN",17
"KINDER MORGAN DELTA TERMINAL",2
"KINDER MORGAN IMT",2
"KINDER MORGAN INTERNATIONAL",2
"KINDER MORGAN INTERNATIONAL MARINE TERM",1
"KIRBY",2
"KIRBY INLAND MARINE",9
"KIRBY MARINE",1
"KIRBY OFFSHORE MARINE",2
"LA CARRIERS",1
"LABOEUF BROTHERS TOWING LLC",1
"LABUFF BROTHERS TOWING",1
"LAURIN MARITIME",1
"LBC BATON ROUGE LLC",1
"LEBEOUF BROTHERS TOWING",2
"LEBEOUF BROTHERS TOWING LLC.",1
"LEBOUEF BROTHERS TOWING",1
"LEBOUES",1
"LIBERTY MARITIME CORP.",1
"LMS SHIP MANAGEMENT INC.",1
"LUHR BROTHERS",1
"LUMAR MARINE",1
"M/T BUNGA BAKAWALI",1
"M/V ASIAN GLORY",1
"M/V BEAUMAIDEN",2
"M/V BUSTER BOUCHARD",1
"M/V DORIC GLORY",1
"M/V GARIT BABA",1
"M/V KATIE GONSULIN",1
"M/V KIRBY BARGE 110345",1
"M/V PAC ACRUX",1
"M/V PROTEUS",1
"M/V RIP HUDNER",1
"M/V SOKAR",1
"M&P BARGE",1
"MAGELAN MIDSTREAM PARTNERS",1
"MAGELLAN MIDSTREAM PARTNERS",1
"MAGELLAN TERMINALS HOLDING",1
"MAGELLAN TERMINALS HOLDINGS INC.",1
"MAGELLEN TERMINALS HOLDINGS",2
"MAGELLIN PIPELINE",1
"MAGNOLIA ITT",1
"MAGNOLIA MARINE",1
"MAGNOLIA MARINE TRANSPORT",6
"MAIN PASS BLOCK 2 PRODUCTION",1
"MAJESTIC AMERICA LINE",1
"MANSON CONSTRUCTION",1
"MAP 721 AND THE TRI STATE",1
"MARATHON",1
"MARATHON ASHLAND PETROLEUM",2
"MARATHON OIL",1
"MARATHON OIL COMPANY",6
"MARATHON PATROLEUM CO",2
"MARATHON PETROLEUM",5
"MARATHON PETROLEUM CO",3
"MARATHON PETROLEUM CO, LLC",1
"MARATHON PETROLEUM COMPANY",2
"MARATHON PETROLUEM",1
"MARATHON PRETROLEUM CO.",1
"MARINE SPILL RESPONSE CO",1
"MARITIME ADMINSTRATION",1
"MARQUETTE TRANSPORTATION",5
"MARQUETTE TRANSPORTATION CO.",1
"MARTIN ENERGY SERVICES",1
"MARTIN MARIETTA MATERIALS",1
"MARYLAND MARINE",2
"MEMCO",1
"MIDSTREAM FUEL",1
"MISC. BERHAD",1
"MODERN AMERICAN RECYCLING SERVICES",1
"MORAN NEW ORLEANS",1
"MORAN TOWING",2
"MORAN TOWING CORP.",1
"MOSAIC AND UNCLE SAM",1
"MOSAIC CO.",1
"MOSAIC FERTILIZER",3
"MOSAIC PHOSPHATE COMPANY",1
"MOSAIC PHOSPHATES",1
"MOSAIC UNCLE SAM PLANT",1
"MOTIVA ENTERPRISES",3
"MOTOR TANKER EOS",1
"MRD GRAIN COMPANY",2
"MTI A JOINT VENTURE",1
"MURPHY OIL",4
"MURPHY OIL CORP.",1
"MURPHY OIL USA",6
"NATIONAL AQUA PRESSURE",1
"NATIONAL MAINTENANCE AND REPAIR",2
"NATIONAL MAINTENANCE AND REPAIR OF LA",1
"NATIONAL MAINTENANCE AND REPAIRS",2
"NATIONAL NAVIGATION COMPANY",1
"NATURES WAY/ BARGE",1
"NAVIERA CHILENA DEL PACIFICO",1
"NOBLE DRILLING",1
"NORANDA ALUMINA",1
"NORMAND CLIPPER",1
"NORTHROP GRUMMAN SHIP BUILDING",1
"NORTHROP GRUMMAN SHIP SYSTEMS",3
"NUSTAR ENERGY",3
"OCCIDENTAL CHEMICAL",1
"OCCIDENTAL CHEMICAL CORP.",1
"ODFJELL MANAGEMENT AF",1
"ORION MARINE CONSTRUCTION",1
"OSG SHIP MANAGEMENT",2
"OSG SHIP MANAGEMENT INC.",1
"OSG SHIP MANAGEMENT UK LTD",1
"PAC ALKAID",1
"PACCSHIP UK LTD",1
"PALCID REFINING COMPANY LLC",1
"PCS NITROGEN FERTILIZER",2
"PENN MARITIME",1
"PETROLEM SERVICE",1
"PETROLEUM FUEL",3
"PETROLEUM FUEL AND TERMINALS",1
"PETROLEUM SERVICE CORP",1
"PETROLUEM FUEL AND TERMINAL COMP.",1
"PHILLIPS 66",3
"PHILLIPS 66 ALLIANCE REFINERY",1
"PINE BLUFF SAND & GRAVEL",1
"PINE BLUFF SAND AND GRAVEL",1
"PINEBLUFF SAND & GRAVEL",1
"PLACID REFINING",1
"PLACID REFINING COMPANY LLC",4
"PLACID REFINING COMPANY LLC ",1
"PLAINS MARKETING LP",1
"PLAQUEMINES POINT SHIPYARD",7
"PLIMSOLL MARINE",1
"POLISH STEAM SHIP COMPANY",1
"PORT OF SOUTH LOUISIANA",1
"PORT SHIP SERVICE",3
"PORT SHIP SERVICE INC.",1
"PORT SHIP SERVICES",1
"PROGRESSIVE BARGE LINE",1
"QUALITY MARINE SERVICE INC.",1
"RIDGELINE PIPELINE",1
"RIVER MARINE MANAGEMENT",1
"RIVER MARINE MANAGEMENT:M/V PATSY J",1
"RIVER PARISHES/MORAN NEW ORLEANS",3
"RIVER VENTURES",2
"RMM MAINTENANCE AND REPAIR",1
"ROSWELL NAVIGATION",1
"ROWAN OIL COMPANY",1
"SCS WAXLER MARINE",1
"SENAC TOWING",1
"SHELL CHEMICAL",3
"SHELL CHEMICALS GEISMAR",1
"SHELL MOTIVA",1
"SHELL PIPELINE COMPANY LP.",1
"SINOTRANS SHIP MGMT LIMITED",1
"SSM SPLIT SHIP MANAGEMENT",1
"ST JAMES STEVEDORING",1
"ST. JAMES STEVEDORING",6
"ST. JAMES STEVEDORING COMPANY",2
"STAOLT HAVEN NEW ORLEANS",1
"STOLT",1
"STOLT HAVEN",1
"STOLT HAVEN NEW ORLEANS, LLC.",4
"STOLTHAVEN NEW ORLEANS",1
"STONE OIL DISTRIBUTERS",1
"STREICHER MOBILE FUELING",1
"SUNDOWN ENERGY LP",2
"T.E. IBBERSON",2
"T.E.I. IVERSON",1
"T.T. COATINGS INC.",1
"T.T. CODY",1
"T& T COATING",3
"TCI PACKAGING",1
"TE IBBERSON",5
"TE IBBERSON COMPANY",2
"THE BOW VICTOR",1
"THE DOW CHEMICAL COMPANY",1
"TOTAL PETROCHEMICAL",1
"TRINITY LIFTBOATS",1
"TT BARGE CLEANING PLANT",2
"TT COATING",2
"TURN SERVICES",2
"UNITED BULK",1
"UNITED BULK / OILTANKING",1
"UNITED BULK TERMINAL",7
"UNITED BULK TERMINALS",7
"VALERO",8
"VALERO & MERAUX",1
"VALERO CORP",1
"VALERO ENERGY CORP.",1
"VALERO MERAUX",2
"VALERO REFINERY",1
"VALERO REFINING",1
"VALERO ST CHARLES REFINERY",1
"VALERO ST. CHARLES REFINERY",8
"VENICE MARINA",1
"VESSEL BRAVEHEART",2
"VESSEL VITA HORIZON",1
"VIDALIA DOCK & STORAGE",1
"VITA MANAGEMENT",1
"VOLKS",1
"WAHKWONG SHIPPING MGMT",1
"WALLEN SHIP MANAGEMENT",1
"WEBBER MARINE",1
"WEBBER MARINE INCORPORATED",1
"WEBER MARINE",2
"WEBER MARINE INC.",1
"WEEKS MARINE",2
"WEEKS MARINE INC",1
"WEEKS MARINE INC.",1
"WHITNEY OIL AND GAS",1
"WILHELMSEN SHIP SERVICES",1
"WILLIE MAE'S RESTAURANT",1
"WINTERVILLE MARINE",1
"WOOD RESOURCES",1
"WOOD TOWING CO.",1
"YAZOO RIVER TOWING",1
"YILMAR DENIZSILIK",1
